Name,Url
Соболь Илья Меерович,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B1%D0%BE%D0%BB%D1%8C,_%D0%98%D0%BB%D1%8C%D1%8F_%D0%9C%D0%B5%D0%B5%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
Строгецкий Владимир Михайлович,"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D0%BE%D0%B3%D0%B5%D1%86%D0%BA%D0%B8%D0%B9,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
Теодору Раду,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%BE%D0%B4%D0%BE%D1%80%D1%83,_%D0%A0%D0%B0%D0%B4%D1%83"
Убайдуллаев Абдулла Мухаррамович,https://uz.wikipedia.org/wiki/Abdulla_Ubaydullayev
Французов Леонид Михайлович,"https://ru.wikipedia.org/w/index.php?title=%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D0%BE%D0%B2,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87&action=edit&redlink=1"
Ван Бинцян,https://zh.wikipedia.org/wiki/%E7%8E%8B%E4%B8%99%E4%B9%BE
Гудвин Гордон,"https://ru.wikipedia.org/wiki/%D0%93%D1%83%D0%B4%D1%83%D0%B8%D0%BD,_%D0%93%D0%BE%D1%80%D0%B4%D0%BE%D0%BD"
Дуглас-Гамильтон Иэн,https://en.wikipedia.org/wiki/Save_the_Elephants
Леаль де Перес Роса,https://es.wikipedia.org/wiki/Rosa_Leal_de_P%C3%A9rez
Оганесян Сергей Саядович,"https://ru.wikipedia.org/wiki/%D0%9E%D0%B3%D0%B0%D0%BD%D0%B5%D1%81%D1%8F%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%A1%D0%B0%D1%8F%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
Пантелеев Евгений Алексеевич,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B5%D0%B2,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
Ройне Эйла,https://fi.wikipedia.org/wiki/Eila_Roine
Рэтлифф Билл,"https://ru.wikipedia.org/wiki/%D0%A0%D1%8D%D1%82%D0%BB%D0%B8%D1%84%D1%84,_%D0%91%D0%B8%D0%BB%D0%BB"
Салганик Виктор Матвеевич,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BB%D0%B3%D0%B0%D0%BD%D0%B8%D0%BA,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%9C%D0%B0%D1%82%D0%B2%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
Семёнов Владимир Михайлович,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87_(%D0%B4%D0%B8%D0%BF%D0%BB%D0%BE%D0%BC%D0%B0%D1%82)"
Сулимов Владимир Сергеевич,"https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D0%BB%D0%B8%D0%BC%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
Харада Масато,"https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D1%80%D0%B0%D0%B4%D0%B0,_%D0%9C%D0%B0%D1%81%D0%B0%D1%82%D0%BE"
Эллсоп Кейт,https://en.wikipedia.org/wiki/Kate_Allsop
Биссири Жозеф Сирима,https://fr.wikipedia.org/wiki/Joseph_Sirima_Bissiri
Де Бук Глен,"https://ru.wikipedia.org/wiki/%D0%94%D0%B5_%D0%91%D1%83%D0%BA,_%D0%93%D0%BB%D0%B5%D0%BD"
Клименко Михаил Михайлович,https://uk.wikipedia.org/wiki/ADAM
Магометов Ахурбек Алиханович,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B3%D0%BE%D0%BC%D0%B5%D1%82%D0%BE%D0%B2,_%D0%90%D1%85%D1%83%D1%80%D0%B1%D0%B5%D0%BA_%D0%90%D0%BB%D0%B8%D1%85%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
Мальяракис Жан-Жиль,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D1%8C%D1%8F%D1%80%D0%B0%D0%BA%D0%B8%D1%81,_%D0%96%D0%B0%D0%BD-%D0%96%D0%B8%D0%BB%D1%8C"
Раджадурай Челлия,https://en.wikipedia.org/wiki/C._Rajadurai
